LeadId,CompanyName,Industry,Website,Location,Address,DecisionMakerName,Designation,Email,EmailType,Phone,LinkedIn,Facebook,Instagram,Twitter,YouTube,ContactPage,SourceKeyword,HasTestimonials,HasVideoTestimonials,HasCaseStudies,HasGoogleReviews,LeadScore,Priority,CreatedDate
1,Home - outfoxsocial.com,marketing agency,https://www.outfoxsocial.com/,"Gandhi Nagar, Delhi.</p>","Gandhi Nagar, Delhi.</p>",,,info@outfoxsocial.com,Generic,+3025550107,,,,,,https://outfoxsocial.com/contact-us-dark/,marketing agency,True,True,True,False,100,Hot Lead,2026-06-19T17:58:57.951633
2,"Best Digital Marketing Company in Delhi NCR - SEO, SMO, PPC, SEM",marketing agency,http://www.digitalmarketingplayers.com/,Delhi but we believe in virtual connect.</p>,Delhi but we believe in virtual connect.</p>,,,hello@dmplayers.com,Generic,+918287129388,https://www.linkedin.com/company/digital-marketing-players/,https://www.facebook.com/digitalmarketingplayers,https://www.instagram.com/wedigitalmarketingplayers/,,https://www.youtube.com/@digitalmarketingplayers,https://digitalmarketingplayers.com/contact-us/,marketing agency,True,True,True,True,100,Hot Lead,2026-06-19T17:59:06.708360
3,Cent Digital,marketing agency,http://www.centdigital.in/,</dt>,</dt>,,,info@centdigital.com,Generic,+917703913320,http://linkedin.com/company/cent-digital,https://www.facebook.com/centdigitalofficial,https://www.instagram.com/centdigital/,https://twitter.com/CentDigital,,https://centdigital.com/contact-us/,marketing agency,True,False,True,False,100,Hot Lead,2026-06-19T17:59:17.680659
4,Promfly | AI-Driven #1 Digital Marketing Agency in 2026,marketing agency,https://www.promfly.com/,"India, dedicated to empowering businesses of all sizes with tailored marketing and development solutions. From increasing brand awareness to driving qualified traffic and converting visitors into loya","India, dedicated to empowering businesses of all sizes with tailored marketing and development solutions. From increasing brand awareness to driving qualified traffic and converting visitors into loya",,,info@promfly.com,Generic,+917303881503,https://www.linkedin.com/company/promfly,https://www.facebook.com/profile.php?id=61555331055219,https://www.instagram.com/promfly/,,,https://www.promfly.com/contact,marketing agency,True,True,True,False,100,Hot Lead,2026-06-19T17:59:27.586688
5,We Are The Best Digital Marketing Services East Delhi,marketing agency,https://harshitkr.com/,"Delhi and West Bengal. With the major intention of client satisfaction by delivering digitalized solutions to small and medium-sized business owners.</p><p>Through the aid of digital tools, tech, and","Delhi and West Bengal. With the major intention of client satisfaction by delivering digitalized solutions to small and medium-sized business owners.</p><p>Through the aid of digital tools, tech, and",,,contact@harshitkr.com,Generic,+919971350774,,https://www.facebook.com/harshitkrforyou/,http://instagram.com/harshitkr4u/,,https://www.youtube.com/channel/UCZ9ECNn9__V5VMO-Xa5bTgQ,https://harshitkr.com/digital-marketing-services-contact/,marketing agency,True,True,True,True,100,Hot Lead,2026-06-19T17:59:39.621177
6,Delhi Marketing | Best Digital Marketing & SEO Services in Delhi,marketing agency,https://delhimarketing.in/,"<!DOCTYPE html><html lang=""en-US"" prefix=""og: https://ogp.me/ns#""><head><script data-no-optimize=""1"">var litespeed_docref=sessionStorage.getItem(""litespeed_docref"");litespeed_docref&&(Object.definePro","<!DOCTYPE html><html lang=""en-US"" prefix=""og: https://ogp.me/ns#""><head><script data-no-optimize=""1"">var litespeed_docref=sessionStorage.getItem(""litespeed_docref"");litespeed_docref&&(Object.definePro",,,,,+0180389396,,,,,,https://delhimarketing.in/contact-us/,marketing agency,False,True,True,False,85,Hot Lead,2026-06-19T17:59:40.259357
7,Cleareach Media - Digital Marketing Agency,marketing agency,https://sites.google.com/view/cleareachmediadigitalmarketing,"Delhi helping businesses scale through strategic advertising and conversion-focused systems.</span></p><p  dir=""ltr"" class=""zfr3Q CDt4Ke "" style=""line-height: 1.2; text-align: left;""><span class=""C9Dx","Delhi helping businesses scale through strategic advertising and conversion-focused systems.</span></p><p  dir=""ltr"" class=""zfr3Q CDt4Ke "" style=""line-height: 1.2; text-align: left;""><span class=""C9Dx",,,cleareachmedia@gmail.com,Personal Business,+918810224302,,,,,,https://sites.google.com/view/cleareachmediadigitalmarketing/contact,marketing agency,True,False,True,False,100,Hot Lead,2026-06-19T17:59:42.884336
8,Mise-En-Place.Co- Best Digital Marketing Company in Delhi,marketing agency,https://www.mise-en-place.co/services/?utm_source=GMB&utm_medium=gmb&utm_campaign=GMB,"<meta name='robots' content='index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1' />","<meta name='robots' content='index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1' />",Possible Unhandled Promise Rejection,CEO,info@mise-en-place.co,Generic,+919560891635,https://linkedin.com/company/mise-en-place-co/,https://www.facebook.com/MiseEnPlaceIND/,https://instagram.com/miseenplaceind,https://twitter.com/miseenplaceind,https://www.youtube.com/@miseenplaceind,https://miseenplace.zohodesk.in/portal/,marketing agency,True,True,True,False,100,Hot Lead,2026-06-19T17:59:45.305336
9,Best Digital Marketing Agency in Delhi (2026) | Tech Ads Mediaa,marketing agency,https://www.techadsmediaa.com/,"<meta property=""og:description"" content=""Portfolio Tech Ads Mediaa is a leading digital marketing agency in Delhi, serving clients worldwide. We have been specializing in [&hellip;]"" />","<meta property=""og:description"" content=""Portfolio Tech Ads Mediaa is a leading digital marketing agency in Delhi, serving clients worldwide. We have been specializing in [&hellip;]"" />",,,info.techadmediaa@gmail.com,Generic,+918433263592,,https://www.facebook.com/techadsmediaa/,https://www.instagram.com/techadsmediaa/,,,https://www.techadsmediaa.com/contact-us/,marketing agency,True,True,True,False,100,Hot Lead,2026-06-19T18:00:10.826347
10,Home - YSA Digital Media,marketing agency,http://ysadigitalmedia.com/,"Delhi/NCR, collaborating with clients worldwide.</div><div id=""brxe-zfgesr"" class=""brxe-block bricks-lazy-hidden""><div id=""brxe-ttutxi"" class=""brxe-block bricks-lazy-hidden""><div id=""brxe-ngxwct"" clas","Delhi/NCR, collaborating with clients worldwide.</div><div id=""brxe-zfgesr"" class=""brxe-block bricks-lazy-hidden""><div id=""brxe-ttutxi"" class=""brxe-block bricks-lazy-hidden""><div id=""brxe-ngxwct"" clas",Rupesh Toor,Founder,hello@ysadigitalmedia.com,Generic,+918860987832,,https://m.facebook.com/ysadigitalmedia,https://www.instagram.com/ysadigitalmedia/,https://x.com/ysadigitalmedia/,,https://ysadigitalmedia.com/contact-us/,marketing agency,True,True,True,False,100,Hot Lead,2026-06-19T18:00:16.078786
